trial_indices,leftP,rightP,choices,rewarded
0,0.15,0.85,-1,-1
1,0.15,0.85,0,0
2,0.15,0.85,1,1
3,0.15,0.85,1,1
4,0.15,0.85,1,1
5,0.15,0.85,1,0
6,0.15,0.85,1,1
7,0.15,0.85,1,1
8,0.15,0.85,1,1
9,0.15,0.85,1,1
10,0.15,0.85,1,1
11,0.15,0.85,1,1
12,0.15,0.85,1,1
13,0.15,0.85,1,1
14,0.15,0.85,0,0
15,0.15,0.85,1,0
16,0.15,0.85,1,1
17,0.15,0.85,0,0
18,0.15,0.85,1,1
19,0.15,0.85,1,1
20,0.15,0.85,1,1
21,0.15,0.85,1,1
22,0.15,0.85,1,1
23,0.15,0.85,1,0
24,0.15,0.85,1,1
25,0.15,0.85,1,0
26,0.15,0.85,1,1
27,0.15,0.85,1,0
28,0.15,0.85,1,1
29,0.15,0.85,1,1
30,0.15,0.85,1,1
31,0.15,0.85,1,1
32,0.15,0.85,1,1
33,0.15,0.85,1,1
34,0.15,0.85,1,0
35,0.15,0.85,1,1
36,0.15,0.85,1,1
37,0.15,0.85,1,1
38,0.15,0.85,1,1
39,0.15,0.85,1,1
40,0.15,0.85,1,1
41,0.15,0.85,1,1
42,0.15,0.85,1,1
43,0.15,0.85,0,0
44,0.15,0.85,1,1
45,0.15,0.85,1,1
46,0.15,0.85,1,0
47,0.15,0.85,1,1
48,0.15,0.85,1,1
49,0.15,0.85,1,1
50,0.15,0.85,1,1
51,0.15,0.85,1,1
52,0.15,0.85,1,0
53,0.15,0.85,1,1
54,0.15,0.85,1,1
55,0.15,0.85,1,1
56,0.15,0.85,1,1
57,0.15,0.85,1,1
58,0.15,0.85,1,1
59,0.15,0.85,1,1
60,0.15,0.85,1,1
61,0.15,0.85,1,0
62,0.15,0.85,1,1
63,0.15,0.85,1,1
64,0.15,0.85,1,1
65,0.15,0.85,1,1
66,0.15,0.85,1,1
67,0.15,0.85,1,1
68,0.15,0.85,1,1
69,0.15,0.85,1,1
70,0.15,0.85,1,0
71,0.15,0.85,1,1
72,0.15,0.85,1,1
73,0.15,0.85,1,1
74,0.15,0.85,1,1
75,0.15,0.85,1,1
76,0.9,0.15,1,1
77,0.9,0.15,1,0
78,0.9,0.15,1,0
79,0.9,0.15,1,0
80,0.9,0.15,1,0
81,0.9,0.15,1,0
82,0.9,0.15,1,0
83,0.9,0.15,1,0
84,0.9,0.15,-1,-1
85,0.9,0.15,0,1
86,0.9,0.15,1,0
87,0.9,0.15,1,0
88,0.9,0.15,1,0
89,0.9,0.15,1,0
90,0.9,0.15,1,0
91,0.9,0.15,1,0
92,0.9,0.15,1,0
93,0.9,0.15,1,0
94,0.9,0.15,1,1
95,0.9,0.15,1,0
96,0.9,0.15,0,1
97,0.9,0.15,0,1
98,0.9,0.15,0,1
99,0.9,0.15,0,1
100,0.9,0.15,0,1
101,0.9,0.15,0,1
102,0.9,0.15,0,1
103,0.9,0.15,0,1
104,0.9,0.15,1,0
105,0.9,0.15,1,1
106,0.9,0.15,1,0
107,0.9,0.15,-1,-1
108,0.9,0.15,-1,-1
109,0.9,0.15,-1,-1
110,0.9,0.15,1,0
111,0.9,0.15,1,0
112,0.9,0.15,1,1
113,0.9,0.15,1,1
114,0.9,0.15,1,0
115,0.9,0.15,1,0
116,0.9,0.15,1,0
117,0.9,0.15,1,0
118,0.9,0.15,1,0
119,0.9,0.15,1,0
120,0.9,0.15,1,0
121,0.9,0.15,1,0
122,0.9,0.15,1,0
123,0.9,0.15,1,0
124,0.9,0.15,1,0
125,0.9,0.15,1,1
126,0.9,0.15,1,0
127,0.9,0.15,1,0
128,0.9,0.15,1,0
129,0.9,0.15,1,0
130,0.9,0.15,1,1
131,0.9,0.15,1,0
132,0.9,0.15,1,0
133,0.9,0.15,1,0
134,0.9,0.15,1,0
135,0.9,0.15,1,0
136,0.9,0.15,1,0
137,0.9,0.15,1,0
138,0.9,0.15,1,0
139,0.9,0.15,1,0
140,0.9,0.15,1,0
141,0.9,0.15,1,0
142,0.9,0.15,1,0
143,0.9,0.15,1,0
144,0.9,0.15,1,0
145,0.9,0.15,1,1
146,0.9,0.15,1,0
147,0.9,0.15,1,0
148,0.9,0.15,1,1
149,0.9,0.15,1,1
150,0.9,0.15,1,0
151,0.9,0.15,1,0
152,0.9,0.15,1,0
153,0.9,0.15,1,0
154,0.9,0.15,1,0
155,0.9,0.15,1,0
156,0.9,0.15,1,0
157,0.9,0.15,1,0
158,0.9,0.15,1,0
159,0.9,0.15,1,0
160,0.9,0.15,1,0
161,0.9,0.15,1,0
162,0.9,0.15,1,0
163,0.9,0.15,1,0
164,0.9,0.15,1,1
165,0.9,0.15,0,1
166,0.9,0.15,1,0
167,0.9,0.15,1,0
168,0.9,0.15,1,0
169,0.9,0.15,1,1
170,0.9,0.15,1,0
171,0.9,0.15,1,0
172,0.9,0.15,1,0
173,0.9,0.15,1,1
174,0.9,0.15,1,0
175,0.9,0.15,1,0
176,0.9,0.15,1,0
177,0.9,0.15,1,0
178,0.9,0.15,1,0
179,0.9,0.15,1,0
180,0.9,0.15,1,1
181,0.9,0.15,1,1
182,0.9,0.15,1,0
183,0.9,0.15,1,0
184,0.9,0.15,1,0
185,0.9,0.15,1,0
186,0.9,0.15,1,0
187,0.9,0.15,1,0
188,0.9,0.15,1,0
189,0.9,0.15,0,1
190,0.9,0.15,1,0
191,0.9,0.15,1,0
192,0.9,0.15,1,0
193,0.9,0.15,1,0
194,0.9,0.15,1,0
195,0.9,0.15,1,0
196,0.9,0.15,0,1
197,0.9,0.15,1,0
198,0.9,0.15,0,0
199,0.9,0.15,-1,-1
200,0.9,0.15,1,0
201,0.9,0.15,1,0
202,0.9,0.15,1,0
203,0.9,0.15,1,0
204,0.9,0.15,1,0
205,0.9,0.15,1,0
206,0.9,0.15,1,0
207,0.9,0.15,1,1
208,0.9,0.15,1,1
209,0.9,0.15,1,0
210,0.9,0.15,1,0
211,0.9,0.15,1,1
212,0.9,0.15,1,0
213,0.9,0.15,1,0
214,0.9,0.15,1,0
