trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.05,-1,-1
1,0.85,0.05,-1,-1
2,0.85,0.05,1,0
3,0.85,0.05,-1,-1
4,0.85,0.05,-1,-1
5,0.85,0.05,1,0
6,0.85,0.05,-1,-1
7,0.85,0.05,-1,-1
8,0.85,0.05,-1,-1
9,0.85,0.05,-1,-1
10,0.85,0.05,1,1
11,0.85,0.05,-1,-1
12,0.85,0.05,0,1
13,0.85,0.05,0,1
14,0.85,0.05,0,0
15,0.85,0.05,0,1
16,0.85,0.05,0,1
17,0.85,0.05,0,1
18,0.85,0.05,1,0
19,0.85,0.05,0,1
20,0.85,0.05,-1,-1
21,0.85,0.05,0,1
22,0.85,0.05,0,1
23,0.85,0.05,0,0
24,0.85,0.05,-1,-1
25,0.85,0.05,-1,-1
26,0.85,0.05,0,1
27,0.85,0.05,1,0
28,0.85,0.05,0,1
29,0.85,0.05,-1,-1
30,0.85,0.05,-1,-1
31,0.85,0.05,0,1
32,0.85,0.05,0,1
33,0.85,0.05,0,0
34,0.85,0.05,-1,-1
35,0.85,0.05,-1,-1
36,0.85,0.05,0,1
37,0.85,0.05,0,1
38,0.85,0.05,0,1
39,0.85,0.05,0,1
40,0.85,0.05,1,0
41,0.85,0.05,-1,-1
42,0.85,0.05,-1,-1
43,0.85,0.05,0,1
44,0.85,0.05,0,1
45,0.85,0.05,0,1
46,0.85,0.05,0,1
47,0.85,0.05,0,0
48,0.85,0.05,0,0
49,0.85,0.05,0,1
50,0.85,0.05,0,0
51,0.85,0.05,-1,-1
52,0.85,0.05,-1,-1
53,0.85,0.05,1,0
54,0.85,0.05,-1,-1
55,0.85,0.05,-1,-1
56,0.85,0.05,-1,-1
57,0.85,0.05,0,1
58,0.85,0.05,-1,-1
59,0.85,0.05,-1,-1
60,0.85,0.05,0,1
61,0.85,0.05,0,1
62,0.85,0.05,0,1
63,0.85,0.05,0,1
64,0.85,0.05,0,1
65,0.85,0.05,1,0
66,0.85,0.05,0,1
67,0.85,0.05,-1,-1
68,0.85,0.05,1,0
69,0.85,0.05,-1,-1
70,0.85,0.05,0,1
71,0.85,0.05,0,1
72,0.85,0.05,-1,-1
73,0.85,0.05,0,1
74,0.85,0.05,-1,-1
75,0.85,0.05,-1,-1
76,0.85,0.05,-1,-1
77,0.85,0.05,-1,-1
78,0.85,0.05,0,1
79,0.85,0.05,0,1
80,0.85,0.05,0,1
81,0.85,0.05,1,0
82,0.85,0.05,0,1
83,0.85,0.05,1,0
84,0.85,0.05,1,0
85,0.85,0.05,-1,-1
86,0.85,0.05,1,0
87,0.85,0.05,-1,-1
88,0.85,0.05,0,1
89,0.85,0.05,0,1
90,0.85,0.05,0,1
91,0.85,0.05,0,1
92,0.85,0.05,1,0
93,0.85,0.05,0,1
94,0.85,0.05,0,1
95,0.85,0.05,0,1
96,0.85,0.05,0,1
97,0.85,0.05,-1,-1
98,0.85,0.05,1,0
99,0.85,0.05,-1,-1
100,0.85,0.05,0,0
101,0.85,0.05,0,1
102,0.85,0.05,0,1
103,0.85,0.05,0,0
104,0.85,0.05,-1,-1
105,0.85,0.05,-1,-1
106,0.85,0.05,0,0
107,0.85,0.05,0,1
108,0.85,0.05,0,1
109,0.85,0.05,-1,-1
110,0.85,0.05,0,1
111,0.85,0.05,0,1
112,0.85,0.05,0,1
113,0.85,0.05,-1,-1
114,0.85,0.05,-1,-1
115,0.85,0.05,-1,-1
116,0.85,0.05,-1,-1
117,0.85,0.05,-1,-1
118,0.85,0.05,-1,-1
119,0.85,0.05,-1,-1
120,0.85,0.05,0,1
121,0.85,0.05,0,1
122,0.85,0.05,0,1
123,0.85,0.05,-1,-1
124,0.85,0.05,-1,-1
125,0.85,0.05,0,1
126,0.85,0.05,0,1
127,0.85,0.05,1,0
128,0.85,0.05,0,1
129,0.85,0.05,0,1
130,0.85,0.05,0,1
131,0.85,0.05,0,1
132,0.85,0.05,0,1
133,0.85,0.05,0,1
134,0.85,0.05,-1,-1
135,0.85,0.05,1,0
136,0.85,0.05,0,1
137,0.85,0.05,0,1
138,0.85,0.05,-1,-1
139,0.85,0.05,-1,-1
140,0.85,0.05,-1,-1
141,0.85,0.05,1,0
142,0.85,0.05,-1,-1
143,0.85,0.05,1,0
144,0.85,0.05,1,0
145,0.85,0.05,-1,-1
146,0.85,0.05,0,1
147,0.85,0.05,1,1
148,0.85,0.05,0,1
149,0.85,0.05,0,1
150,0.85,0.05,1,0
151,0.85,0.05,0,1
152,0.85,0.05,0,0
153,0.85,0.05,0,0
154,0.85,0.05,0,1
155,0.85,0.05,0,1
156,0.85,0.05,-1,-1
157,0.85,0.05,0,1
158,0.85,0.05,0,0
159,0.85,0.05,1,0
160,0.85,0.05,0,1
161,0.85,0.05,1,0
162,0.85,0.05,1,0
163,0.85,0.05,-1,-1
164,0.85,0.05,1,0
165,0.85,0.05,1,0
166,0.85,0.05,0,1
167,0.85,0.05,0,1
168,0.85,0.05,-1,-1
169,0.85,0.05,1,0
170,0.85,0.05,0,1
171,0.85,0.05,0,1
172,0.85,0.05,1,0
173,0.85,0.05,1,0
174,0.85,0.05,-1,-1
175,0.85,0.05,1,0
176,0.85,0.05,-1,-1
177,0.85,0.05,0,1
178,0.85,0.05,-1,-1
179,0.85,0.05,-1,-1
180,0.85,0.05,0,1
181,0.85,0.05,0,1
182,0.85,0.05,-1,-1
183,0.85,0.05,1,0
184,0.85,0.05,-1,-1
185,0.85,0.05,1,0
186,0.85,0.05,0,1
187,0.85,0.05,1,0
188,0.85,0.05,-1,-1
189,0.85,0.05,-1,-1
190,0.85,0.05,-1,-1
191,0.85,0.05,0,0
192,0.85,0.05,0,1
193,0.85,0.05,-1,-1
194,0.85,0.05,1,1
195,0.85,0.05,-1,-1
196,0.85,0.05,-1,-1
197,0.85,0.05,0,1
198,0.85,0.05,0,1
199,0.85,0.05,0,1
200,0.85,0.05,0,1
201,0.85,0.05,1,0
202,0.85,0.05,0,0
203,0.85,0.05,-1,-1
204,0.85,0.05,-1,-1
205,0.85,0.05,0,1
206,0.85,0.05,0,1
207,0.85,0.05,-1,-1
208,0.85,0.05,-1,-1
209,0.85,0.05,-1,-1
210,0.85,0.05,0,1
211,0.85,0.05,0,1
212,0.85,0.05,1,0
213,0.85,0.05,1,0
214,0.85,0.05,-1,-1
215,0.85,0.05,0,0
216,0.85,0.05,0,1
217,0.85,0.05,-1,-1
218,0.85,0.05,-1,-1
219,0.85,0.05,-1,-1
220,0.85,0.05,0,1
221,0.85,0.05,0,0
222,0.85,0.05,-1,-1
223,0.85,0.05,-1,-1
224,0.85,0.05,0,1
225,0.85,0.05,0,1
226,0.85,0.05,0,1
227,0.85,0.05,0,1
228,0.85,0.05,0,1
229,0.85,0.05,0,1
230,0.85,0.05,-1,-1
231,0.85,0.05,-1,-1
232,0.85,0.05,-1,-1
233,0.85,0.05,1,0
234,0.85,0.05,-1,-1
235,0.85,0.05,-1,-1
236,0.85,0.05,-1,-1
237,0.85,0.05,-1,-1
238,0.85,0.05,1,0
239,0.85,0.05,-1,-1
240,0.85,0.05,0,1
241,0.85,0.05,1,0
242,0.85,0.05,1,0
243,0.85,0.05,0,1
244,0.85,0.05,0,1
245,0.85,0.05,0,0
246,0.85,0.05,0,1
247,0.85,0.05,0,1
248,0.85,0.05,0,1
249,0.85,0.05,-1,-1
250,0.85,0.05,-1,-1
251,0.85,0.05,-1,-1
252,0.85,0.05,-1,-1
253,0.85,0.05,-1,-1
254,0.85,0.05,-1,-1
255,0.85,0.05,-1,-1
