trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.2,0,1
1,0.85,0.2,0,1
2,0.85,0.2,0,1
3,0.85,0.2,1,0
4,0.85,0.2,0,1
5,0.85,0.2,0,1
6,0.85,0.2,1,1
7,0.85,0.2,0,1
8,0.85,0.2,0,1
9,0.85,0.2,0,1
10,0.85,0.2,0,1
11,0.85,0.2,0,1
12,0.85,0.2,0,1
13,0.85,0.2,0,1
14,0.85,0.2,0,0
15,0.85,0.2,0,1
16,0.85,0.2,1,0
17,0.85,0.2,0,1
18,0.85,0.2,1,0
19,0.85,0.2,1,0
20,0.85,0.2,0,0
21,0.85,0.2,1,0
22,0.85,0.2,0,1
23,0.85,0.2,1,0
24,0.85,0.2,0,1
25,0.85,0.2,0,0
26,0.85,0.2,1,1
27,0.85,0.2,0,1
28,0.85,0.2,0,0
29,0.85,0.2,1,0
30,0.85,0.2,0,1
31,0.85,0.2,0,1
32,0.85,0.2,1,0
33,0.85,0.2,0,1
34,0.85,0.2,0,1
35,0.85,0.2,0,1
36,0.85,0.2,0,1
37,0.85,0.2,1,0
38,0.85,0.2,1,0
39,0.85,0.2,1,0
40,0.85,0.2,0,1
41,0.85,0.2,0,1
42,0.85,0.2,0,1
43,0.85,0.2,0,1
44,0.85,0.2,0,1
45,0.85,0.2,0,0
46,0.85,0.2,0,1
47,0.85,0.2,1,1
48,0.85,0.2,1,0
49,0.85,0.2,0,1
50,0.85,0.2,0,1
51,0.85,0.2,0,0
52,0.85,0.2,0,1
53,0.85,0.2,0,1
54,0.85,0.2,1,0
55,0.85,0.2,0,1
56,0.85,0.2,1,0
57,0.85,0.2,0,1
58,0.85,0.2,0,1
59,0.85,0.2,0,1
60,0.85,0.2,0,1
61,0.85,0.2,0,1
62,0.85,0.2,0,1
63,0.85,0.2,0,1
64,0.85,0.2,0,1
65,0.85,0.2,0,1
66,0.85,0.2,0,1
67,0.85,0.2,0,1
68,0.85,0.2,0,0
69,0.85,0.2,0,0
70,0.85,0.2,0,1
71,0.85,0.2,0,1
72,0.85,0.2,0,1
73,0.85,0.2,0,1
74,0.85,0.2,0,0
75,0.2,0.85,1,1
76,0.2,0.85,0,0
77,0.2,0.85,0,0
78,0.2,0.85,0,0
79,0.2,0.85,0,1
80,0.2,0.85,0,1
81,0.2,0.85,0,1
82,0.2,0.85,0,0
83,0.2,0.85,0,1
84,0.2,0.85,1,1
85,0.2,0.85,0,0
86,0.2,0.85,0,0
87,0.2,0.85,0,0
88,0.2,0.85,1,0
89,0.2,0.85,1,1
90,0.2,0.85,1,1
91,0.2,0.85,0,0
92,0.2,0.85,0,0
93,0.2,0.85,0,0
94,0.2,0.85,0,0
95,0.2,0.85,1,0
96,0.2,0.85,1,1
97,0.2,0.85,1,1
98,0.2,0.85,1,1
99,0.2,0.85,1,1
100,0.2,0.85,1,1
101,0.2,0.85,0,0
102,0.2,0.85,1,1
103,0.2,0.85,1,1
104,0.2,0.85,1,1
105,0.2,0.85,1,0
106,0.2,0.85,1,1
107,0.2,0.85,1,1
108,0.2,0.85,1,1
109,0.2,0.85,1,1
110,0.2,0.85,0,0
111,0.2,0.85,1,1
112,0.2,0.85,1,1
113,0.2,0.85,1,1
114,0.2,0.85,1,1
115,0.2,0.85,0,0
116,0.2,0.85,1,1
117,0.2,0.85,1,1
118,0.2,0.85,1,1
119,0.2,0.85,1,1
120,0.2,0.85,1,1
121,0.2,0.85,1,1
122,0.2,0.85,0,0
123,0.2,0.85,1,1
124,0.2,0.85,1,1
125,0.2,0.85,1,1
126,0.2,0.85,1,1
127,0.2,0.85,0,0
128,0.2,0.85,1,0
129,0.2,0.85,1,1
130,0.2,0.85,0,0
131,0.2,0.85,1,1
132,0.2,0.85,1,1
133,0.2,0.85,0,0
134,0.2,0.85,1,1
135,0.2,0.85,1,0
136,0.2,0.85,1,0
137,0.2,0.85,1,1
138,0.2,0.85,1,1
139,0.2,0.85,0,0
140,0.2,0.85,1,1
141,0.2,0.85,0,0
142,0.2,0.85,1,1
143,0.2,0.85,0,1
144,0.2,0.85,0,0
145,0.2,0.85,0,0
146,0.2,0.85,0,0
147,0.2,0.85,1,1
148,0.2,0.85,0,1
149,0.2,0.85,0,0
150,0.2,0.85,0,0
151,0.2,0.85,0,0
152,0.2,0.85,1,0
153,0.2,0.85,1,1
154,0.2,0.85,0,0
155,0.2,0.85,1,0
156,0.2,0.85,1,1
157,0.2,0.85,1,1
158,0.2,0.85,0,0
159,0.2,0.85,0,1
160,0.2,0.85,0,0
161,0.2,0.85,0,1
162,0.2,0.85,1,1
163,0.2,0.85,0,0
164,0.2,0.85,0,0
165,0.2,0.85,0,0
166,0.2,0.85,1,1
167,0.2,0.85,1,0
168,0.2,0.85,1,1
169,0.2,0.85,1,1
170,0.2,0.85,1,1
171,0.2,0.85,1,1
172,0.2,0.85,1,1
173,0.2,0.85,0,0
174,0.2,0.85,1,1
175,0.2,0.85,1,1
176,0.85,0.2,0,1
177,0.85,0.2,1,0
178,0.85,0.2,0,1
179,0.85,0.2,1,0
180,0.85,0.2,0,0
181,0.85,0.2,0,1
182,0.85,0.2,0,1
183,0.85,0.2,1,1
184,0.85,0.2,0,1
185,0.85,0.2,1,0
186,0.85,0.2,0,1
187,0.85,0.2,0,1
188,0.85,0.2,0,1
189,0.85,0.2,0,1
190,0.85,0.2,1,0
191,0.85,0.2,0,1
192,0.85,0.2,0,0
193,0.85,0.2,0,0
194,0.85,0.2,0,1
195,0.85,0.2,0,1
196,0.85,0.2,0,1
197,0.85,0.2,0,1
198,0.85,0.2,0,1
199,0.85,0.2,0,1
200,0.85,0.2,0,1
201,0.85,0.2,0,1
202,0.85,0.2,0,1
203,0.85,0.2,0,1
204,0.85,0.2,0,1
205,0.85,0.2,0,1
206,0.85,0.2,0,1
207,0.85,0.2,0,1
208,0.85,0.2,0,0
209,0.85,0.2,0,1
210,0.85,0.2,0,1
211,0.85,0.2,1,0
212,0.85,0.2,1,1
213,0.85,0.2,1,0
214,0.85,0.2,0,1
215,0.85,0.2,0,1
216,0.85,0.2,0,1
217,0.85,0.2,0,0
218,0.85,0.2,1,0
219,0.85,0.2,0,1
220,0.85,0.2,0,0
221,0.85,0.2,0,1
222,0.85,0.2,0,1
223,0.85,0.2,0,1
224,0.85,0.2,0,1
225,0.85,0.2,0,1
226,0.85,0.2,1,1
227,0.85,0.2,1,1
228,0.85,0.2,1,0
229,0.85,0.2,0,1
230,0.85,0.2,0,1
231,0.85,0.2,0,1
232,0.85,0.2,0,1
233,0.85,0.2,0,1
234,0.85,0.2,0,1
235,0.85,0.2,0,0
236,0.85,0.2,0,1
237,0.85,0.2,0,1
238,0.85,0.2,0,1
239,0.85,0.2,0,1
240,0.85,0.2,0,1
241,0.85,0.2,0,0
242,0.85,0.2,0,1
243,0.85,0.2,0,1
244,0.85,0.2,0,0
245,0.85,0.2,1,0
246,0.85,0.2,0,1
247,0.85,0.2,0,1
248,0.85,0.2,0,1
249,0.85,0.2,0,1
250,0.85,0.2,0,1
251,0.2,0.8,0,0
252,0.2,0.8,0,1
253,0.2,0.8,0,0
254,0.2,0.8,0,0
255,0.2,0.8,0,0
256,0.2,0.8,0,0
257,0.2,0.8,1,1
258,0.2,0.8,0,0
259,0.2,0.8,1,1
260,0.2,0.8,1,0
261,0.2,0.8,1,1
262,0.2,0.8,1,1
263,0.2,0.8,1,1
264,0.2,0.8,0,0
265,0.2,0.8,1,1
266,0.2,0.8,1,0
267,0.2,0.8,1,1
268,0.2,0.8,1,1
269,0.2,0.8,1,1
270,0.2,0.8,1,1
271,0.2,0.8,1,1
272,0.2,0.8,1,1
273,0.2,0.8,1,0
274,0.2,0.8,1,1
275,0.2,0.8,0,0
276,0.2,0.8,1,1
277,0.2,0.8,1,1
278,0.2,0.8,1,0
279,0.2,0.8,1,1
280,0.2,0.8,1,1
281,0.2,0.8,1,1
282,0.2,0.8,1,1
283,0.2,0.8,1,0
284,0.2,0.8,1,1
285,0.2,0.8,0,1
286,0.2,0.8,0,0
